_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a24d3fb8c43ecce7bf44","in_1785943195061","","0","2026-08-05T15:19:55.061Z","05-08-2026","","","","5","","","0","packet","stk_116","7x9 SP Pouch","J116","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf45","in_1785943213661","","0","2026-08-05T15:20:13.661Z","05-08-2026","","","","3","","","0","packet","stk_117","9x12 SP Pouch","J117","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf46","in_1785943226909","","0","2026-08-05T15:20:26.909Z","05-08-2026","","","","3","","","0","pcs","stk_118","6x8 SP Pouch","J118","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf47","in_1785943246883","","0","2026-08-05T15:20:46.883Z","05-08-2026","","","","1","","","0","packet","stk_121","Silver Roll Foil","J121","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf48","in_1785943288363","","0","2026-08-05T15:21:28.363Z","05-08-2026","","","","2","","","0","packet","stk_122","plastic Hand Gloves","J122","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf49","in_1785943319399","","0","2026-08-05T15:21:59.399Z","05-08-2026","","","","2","","","0","packet","stk_123","Chef Cap","J123","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf4a","in_1785943419314","","0","2026-08-05T15:23:39.314Z","05-08-2026","","","","30","","","0","packet","stk_108","Tissue Paper","J108","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf4b","in_1785943473242","","0","2026-08-05T15:24:33.243Z","05-08-2026","","","","33","","","0","pcs","stk_133","thermal copy","J00133","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf4c","in_1785944787556","","0","2026-08-05T15:46:27.556Z","05-08-2026","","","","10","","","0","packet","stk_109","Raita Pouch","J109","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24e3fb8c43ecce7bf4d","in_1785944822934","","0","2026-08-05T15:47:02.934Z","05-08-2026","","","","2","","","0","packet","stk_119","Plastic Spoon","J119","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
